"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,041019 ,2004-10-19,001602 ,CBT ,00 ,001 ,  154723,   38117,   58153,   14123,   77510,   59927,  129750,  132203,   24973,   22520,  147268,   38513,   56603,   12921,   71761,   57655,  123195,  127179,   24073,   20089,    7455,     738,    2684,      68,    5749,    2272,    6555,    5024,     900,    2431,   -7053,    -942,   -6501,     691,   -4940,    1495,   -5191,   -4315,   -1862,   -2738,  100.0,   24.6,   37.6,    9.1,   50.1,   38.7,   83.9,   85.4,   16.1,   14.6,  100.0,   26.2,   38.4,    8.8,   48.7,   39.1,   83.7,   86.4,   16.3,   13.6,  100.0,    9.9,   36.0,    0.9,   77.1,   30.5,   87.9,   67.4,   12.1,   32.6,    257,     78,     89,     49,     52,     59,    160,    179,    255,     82,     88,     44,     48,     57,    155,    172,     80,      9,     24,      5,     12,     40,     25,     65,    25.3,    18.7,    38.3,    27.4,    25.3,    17.3,    38.2,    25.4,    26.6,    19.6,    40.1,    28.6,    26.6,    18.5,    40.1,    27.2,    71.7,    23.7,    80.5,    37.1,    70.6,    23.4,    79.2,    36.8,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041012 ,2004-10-12,001602 ,CBT ,00 ,001 ,  161776,   39059,   64654,   13432,   82450,   58432,  134941,  136518,   26835,   25258,  154184,   40108,   63510,   11543,   76494,   55992,  128145,  131045,   26039,   23139,    7592,     805,    2998,      35,    5956,    2440,    6796,    5473,     796,    2119,    6608,    3939,    1850,     277,     218,    1923,    4434,    4050,    2174,    2558,  100.0,   24.1,   40.0,    8.3,   51.0,   36.1,   83.4,   84.4,   16.6,   15.6,  100.0,   26.0,   41.2,    7.5,   49.6,   36.3,   83.1,   85.0,   16.9,   15.0,  100.0,   10.6,   39.5,    0.5,   78.5,   32.1,   89.5,   72.1,   10.5,   27.9,    266,     89,     90,     51,     54,     57,    170,    180,    264,     91,     91,     46,     51,     54,    167,    171,     75,      8,     22,      3,     13,     37,     23,     60,    23.8,    19.2,    36.3,    28.2,    23.7,    16.7,    36.0,    25.1,    24.9,    20.1,    38.0,    28.9,    24.9,    18.3,    37.8,    27.1,    71.6,    33.5,    80.3,    46.1,    70.5,    33.5,    79.1,    45.1,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041005 ,2004-10-05,001602 ,CBT ,00 ,001 ,  155168,   35120,   62804,   13155,   82232,   56509,  130507,  132468,   24661,   22700,  147544,   36744,   62187,   10571,   76221,   54070,  123536,  126828,   24008,   20716,    7624,     928,    3169,      32,    6011,    2439,    6971,    5640,     653,    1984,    3698,    1270,    8180,    3498,   -1316,   -8209,    3452,    3469,     246,     229,  100.0,   22.6,   40.5,    8.5,   53.0,   36.4,   84.1,   85.4,   15.9,   14.6,  100.0,   24.9,   42.1,    7.2,   51.7,   36.6,   83.7,   86.0,   16.3,   14.0,  100.0,   12.2,   41.6,    0.4,   78.8,   32.0,   91.4,   74.0,    8.6,   26.0,    255,     81,     90,     44,     53,     55,    156,    175,    253,     86,     87,     39,     50,     52,    153,    166,     80,      8,     26,      4,     12,     39,     24,     65,    24.3,    19.2,    38.2,    27.4,    24.2,    16.4,    37.1,    24.5,    25.5,    20.1,    40.1,    28.5,    25.5,    18.1,    39.3,    26.4,    71.2,    29.1,    82.3,    43.3,    70.1,    29.1,    80.1,    42.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040928 ,2004-09-28,001602 ,CBT ,00 ,001 ,  151470,   33850,   54624,    9657,   83548,   64718,  127055,  128999,   24415,   22471,  145078,   34867,   54156,    7943,   78463,   62312,  121273,  124411,   23805,   20667,    6392,     650,    2135,      47,    5085,    2406,    5782,    4588,     610,    1804,    1527,   -2772,    8975,    -316,    3886,   -7707,     798,     952,     729,     575,  100.0,   22.3,   36.1,    6.4,   55.2,   42.7,   83.9,   85.2,   16.1,   14.8,  100.0,   24.0,   37.3,    5.5,   54.1,   43.0,   83.6,   85.8,   16.4,   14.2,  100.0,   10.2,   33.4,    0.7,   79.6,   37.6,   90.5,   71.8,    9.5,   28.2,    244,     75,     82,     42,     57,     59,    157,    164,    242,     78,     80,     37,     54,     57,    154,    156,     77,     10,     19,      3,     12,     41,     24,     61,    24.9,    21.7,    39.7,    30.3,    23.9,    18.2,    37.9,    26.4,    26.0,    22.5,    41.5,    31.5,    24.9,    19.8,    39.9,    28.2,    69.1,    30.4,    81.4,    46.3,    67.8,    29.9,    79.3,    45.8,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040921 ,2004-09-21,001602 ,CBT ,00 ,001 ,  149943,   36622,   45649,    9973,   79662,   72425,  126257,  128047,   23686,   21896,  143734,   37465,   45201,    8352,   74776,   70019,  120593,  123572,   23141,   20162,    6209,     710,    2001,      68,    4886,    2406,    5664,    4475,     545,    1734,   -4000,     914,   -6707,     735,   -3242,    2784,   -1593,   -3188,   -2407,    -812,  100.0,   24.4,   30.4,    6.7,   53.1,   48.3,   84.2,   85.4,   15.8,   14.6,  100.0,   26.1,   31.4,    5.8,   52.0,   48.7,   83.9,   86.0,   16.1,   14.0,  100.0,   11.4,   32.2,    1.1,   78.7,   38.8,   91.2,   72.1,    8.8,   27.9,    243,     85,     72,     43,     56,     61,    166,    158,    241,     86,     73,     39,     52,     59,    161,    152,     75,      9,     18,      2,     12,     41,     22,     60,    24.1,    26.8,    39.1,    35.5,    23.8,    23.5,    37.3,    31.4,    25.1,    27.8,    40.7,    36.6,    24.8,    25.2,    39.2,    33.2,    68.3,    32.8,    81.5,    47.1,    66.9,    32.0,    79.4,    46.3,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040914 ,2004-09-14,001602 ,CBT ,00 ,001 ,  153943,   35708,   52356,    9238,   82904,   69641,  127850,  131235,   26093,   22708,  148240,   36327,   52388,    7808,   78654,   66944,  122789,  127140,   25451,   21100,    5703,     762,    1349,      49,    4250,    2697,    5061,    4095,     642,    1608,   -8025,   -3711,   -9391,   -1133,   -1738,    3228,   -6582,   -7296,   -1443,    -729,  100.0,   23.2,   34.0,    6.0,   53.9,   45.2,   83.1,   85.2,   16.9,   14.8,  100.0,   24.5,   35.3,    5.3,   53.1,   45.2,   82.8,   85.8,   17.2,   14.2,  100.0,   13.4,   23.7,    0.9,   74.5,   47.3,   88.7,   71.8,   11.3,   28.2,    243,     83,     76,     41,     56,     60,    159,    160,    241,     84,     75,     36,     52,     59,    155,    153,     72,     10,     15,      2,      9,     40,     21,     55,    23.5,    25.5,    37.8,    34.6,    23.5,    21.9,    36.1,    30.2,    24.4,    26.3,    39.2,    35.2,    24.3,    23.2,    37.8,    31.8,    73.4,    37.7,    81.7,    49.5,    72.2,    37.4,    80.5,    49.3,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040907 ,2004-09-07,001602 ,CBT ,00 ,001 ,  161968,   39419,   61747,   10371,   84642,   66413,  134432,  138531,   27536,   23437,  156675,   40551,   61838,    8585,   80589,   64105,  129725,  134528,   26950,   22147,    5293,     628,    1669,      26,    4053,    2308,    4707,    4003,     586,    1290,   -3485,    2016,    3222,   -4206,   -3418,   -2941,   -5608,   -3925,    2123,     440,  100.0,   24.3,   38.1,    6.4,   52.3,   41.0,   83.0,   85.5,   17.0,   14.5,  100.0,   25.9,   39.5,    5.5,   51.4,   40.9,   82.8,   85.9,   17.2,   14.1,  100.0,   11.9,   31.5,    0.5,   76.6,   43.6,   88.9,   75.6,   11.1,   24.4,    261,     90,     83,     41,     60,     59,    167,    172,    260,     93,     82,     36,     57,     57,    163,    166,     69,      7,     17,      3,     11,     36,     21,     53,    22.8,    25.0,    35.5,    34.1,    22.8,    22.1,    34.6,    30.3,    23.5,    25.8,    36.3,    34.6,    23.5,    23.2,    35.8,    31.7,    74.2,    42.3,    83.5,    53.5,    73.0,    42.0,    82.2,    53.3,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040831 ,2004-08-31,001602 ,CBT ,00 ,001 ,  165453,   37403,   58525,   14577,   88060,   69354,  140040,  142456,   25413,   22997,  160204,   38513,   58768,   12820,   84114,   67042,  135447,  138630,   24757,   21574,    5249,     597,    1464,      50,    3946,    2312,    4593,    3826,     656,    1423,   -2891,   -4159,     381,     495,     828,   -5062,   -2836,   -4186,     -55,    1295,  100.0,   22.6,   35.4,    8.8,   53.2,   41.9,   84.6,   86.1,   15.4,   13.9,  100.0,   24.0,   36.7,    8.0,   52.5,   41.8,   84.5,   86.5,   15.5,   13.5,  100.0,   11.4,   27.9,    1.0,   75.2,   44.0,   87.5,   72.9,   12.5,   27.1,    258,     81,     84,     50,     60,     60,    165,    180,    257,     85,     84,     45,     57,     57,    161,    173,     66,      8,     15,      2,      9,     36,     19,     51,    21.7,    24.6,    34.1,    34.0,    21.7,    21.7,    33.3,    30.0,    22.5,    25.3,    35.2,    34.7,    22.5,    22.8,    34.8,    31.3,    76.5,    39.6,    84.2,    50.4,    75.2,    39.1,    82.9,    49.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040824 ,2004-08-24,001602 ,CBT ,00 ,001 ,  168344,   41562,   58144,   14082,   87232,   74416,  142876,  146642,   25468,   21702,  163413,   42227,   58238,   12583,   83742,   72237,  138552,  143058,   24861,   20355,    4931,     784,    1355,      50,    3490,    2179,    4324,    3584,     607,    1347,   -2441,     213,    -288,    1819,    1912,    3989,    3944,    5520,   -6385,   -7961,  100.0,   24.7,   34.5,    8.4,   51.8,   44.2,   84.9,   87.1,   15.1,   12.9,  100.0,   25.8,   35.6,    7.7,   51.2,   44.2,   84.8,   87.5,   15.2,   12.5,  100.0,   15.9,   27.5,    1.0,   70.8,   44.2,   87.7,   72.7,   12.3,   27.3,    255,     83,     77,     52,     61,     63,    166,    181,    254,     84,     80,     50,     60,     62,    165,    178,     70,      6,     21,      2,      8,     37,     16,     58,    21.0,    25.9,    32.1,    35.5,    21.0,    23.3,    31.9,    31.3,    21.6,    26.6,    33.0,    36.1,    21.6,    24.1,    32.9,    32.4,    77.2,    34.4,    85.4,    46.7,    75.8,    33.9,    84.0,    46.3,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040817 ,2004-08-17,001602 ,CBT ,00 ,001 ,  170785,   41349,   58432,   12263,   85320,   70427,  138932,  141122,   31853,   29663,  166214,   42120,   58405,   10708,   81971,   68733,  134799,  137846,   31415,   28368,    4571,     760,    1558,      24,    3349,    1694,    4133,    3276,     438,    1295,    6275,    2288,   -1085,      13,    1710,    6412,    4011,    5340,    2264,     935,  100.0,   24.2,   34.2,    7.2,   50.0,   41.2,   81.3,   82.6,   18.7,   17.4,  100.0,   25.3,   35.1,    6.4,   49.3,   41.4,   81.1,   82.9,   18.9,   17.1,  100.0,   16.6,   34.1,    0.5,   73.3,   37.1,   90.4,   71.7,    9.6,   28.3,    252,     81,     83,     52,     60,     61,    163,    181,    251,     83,     82,     50,     59,     60,    162,    178,     64,      5,     16,      1,      9,     36,     15,     52,    20.4,    22.6,    31.6,    31.9,    20.4,    20.8,    31.6,    28.7,    21.0,    23.2,    32.3,    32.7,    21.0,    21.3,    32.3,    29.5,    79.6,    33.4,    88.2,    45.2,    79.6,    32.8,    86.7,    44.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040810 ,2004-08-10,001602 ,CBT ,00 ,001 ,  164510,   39061,   59517,   12250,   83610,   64015,  134921,  135782,   29589,   28728,  161160,   39234,   59447,   11273,   81550,   62709,  132057,  133429,   29103,   27731,    3350,     782,    1025,      22,    2060,    1306,    2864,    2353,     486,     997,     213,   -2456,     847,   -1916,    5930,    3343,    1558,    2274,   -1345,   -2061,  100.0,   23.7,   36.2,    7.4,   50.8,   38.9,   82.0,   82.5,   18.0,   17.5,  100.0,   24.3,   36.9,    7.0,   50.6,   38.9,   81.9,   82.8,   18.1,   17.2,  100.0,   23.3,   30.6,    0.7,   61.5,   39.0,   85.5,   70.2,   14.5,   29.8,    261,     74,     92,     51,     71,     62,    174,    184,    260,     77,     92,     50,     70,     60,    173,    181,     63,      5,     16,      2,     10,     36,     16,     53,    21.6,    19.7,    33.1,    29.4,    21.6,    18.4,    32.7,    26.8,    21.9,    20.1,    33.6,    30.0,    21.9,    18.8,    33.3,    27.4,    68.4,    26.8,    80.9,    41.3,    65.1,    26.8,    75.6,    40.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040803 ,2004-08-03,001602 ,CBT ,00 ,001 ,  164297,   41517,   58670,   14166,   77680,   60672,  133363,  133508,   30934,   30789,  161229,   41830,   58478,   13401,   75546,   59621,  130777,  131500,   30452,   29729,    3068,     418,     923,      34,    2134,    1051,    2586,    2008,     482,    1060,   10020,    5862,    4798,     467,     463,    1790,    6792,    7055,    3228,    2965,  100.0,   25.3,   35.7,    8.6,   47.3,   36.9,   81.2,   81.3,   18.8,   18.7,  100.0,   25.9,   36.3,    8.3,   46.9,   37.0,   81.1,   81.6,   18.9,   18.4,  100.0,   13.6,   30.1,    1.1,   69.6,   34.3,   84.3,   65.4,   15.7,   34.6,    259,     78,     88,     50,     63,     59,    167,    181,    258,     80,     88,     49,     62,     58,    166,    179,     58,      7,     11,      2,     10,     32,     18,     44,    20.7,    17.5,    31.3,    26.8,    20.7,    16.4,    30.8,    24.8,    21.1,    17.8,    31.8,    27.2,    21.1,    16.7,    31.3,    25.4,    66.2,    30.5,    78.8,    42.2,    65.4,    29.8,    76.7,    41.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040727 ,2004-07-27,001602 ,CBT ,00 ,001 ,  154277,   35655,   53872,   13699,   77217,   58882,  126571,  126453,   27706,   27824,  151673,   36166,   54078,   12732,   75478,   57902,  124376,  124712,   27297,   26961,    2604,     427,     732,      29,    1739,     980,    2195,    1741,     409,     863,   -1893,     720,   -1279,   -1722,   -4178,   -3045,   -5180,   -6046,    3287,    4153,  100.0,   23.1,   34.9,    8.9,   50.1,   38.2,   82.0,   82.0,   18.0,   18.0,  100.0,   23.8,   35.7,    8.4,   49.8,   38.2,   82.0,   82.2,   18.0,   17.8,  100.0,   16.4,   28.1,    1.1,   66.8,   37.6,   84.3,   66.9,   15.7,   33.1,    248,     66,     91,     51,     62,     58,    159,    180,    247,     69,     92,     48,     61,     57,    158,    176,     57,      7,      8,      2,     11,     32,     19,     42,    23.0,    14.9,    34.6,    24.4,    22.1,    13.4,    32.9,    22.3,    23.4,    15.1,    35.1,    24.7,    22.5,    13.8,    33.5,    22.8,    53.5,    33.2,    75.5,    45.2,    51.7,    33.2,    73.1,    45.2,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040720 ,2004-07-20,001602 ,CBT ,00 ,001 ,  156170,   34935,   55151,   15421,   81395,   61927,  131751,  132499,   24419,   23671,  154154,   35153,   55258,   14849,   80176,   61222,  130178,  131329,   23976,   22825,    2016,     333,     444,      21,    1219,     705,    1573,    1170,     443,     846,     -33,   -2883,    1717,    3937,    -580,   -4265,     474,    1389,    -507,   -1422,  100.0,   22.4,   35.3,    9.9,   52.1,   39.7,   84.4,   84.8,   15.6,   15.2,  100.0,   22.8,   35.8,    9.6,   52.0,   39.7,   84.4,   85.2,   15.6,   14.8,  100.0,   16.5,   22.0,    1.0,   60.5,   35.0,   78.0,   58.0,   22.0,   42.0,    254,     71,     85,     51,     68,     63,    166,    181,    253,     73,     84,     50,     67,     61,    165,    178,     58,      8,      4,      2,     12,     35,     21,     41,    24.2,    15.5,    35.5,    25.1,    22.7,    12.5,    33.4,    21.3,    24.5,    15.7,    35.8,    25.4,    23.0,    12.8,    33.9,    21.7,    40.7,    25.7,    66.1,    38.6,    39.4,    25.7,    64.9,    38.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040713 ,2004-07-13,001602 ,CBT ,00 ,001 ,  156203,   37818,   53434,   11484,   81975,   66192,  131277,  131110,   24926,   25093,  154349,   37731,   53403,   11233,   80882,   65479,  129846,  130115,   24503,   24234,    1854,     332,     276,       6,    1093,     713,    1431,     995,     423,     859,    4347,     262,    2877,   -1036,     -80,    -396,    -854,    1445,    5201,    2902,  100.0,   24.2,   34.2,    7.4,   52.5,   42.4,   84.0,   83.9,   16.0,   16.1,  100.0,   24.4,   34.6,    7.3,   52.4,   42.4,   84.1,   84.3,   15.9,   15.7,  100.0,   17.9,   14.9,    0.3,   59.0,   38.5,   77.2,   53.7,   22.8,   46.3,    243,     69,     80,     40,     63,     62,    155,    166,    242,     69,     80,     39,     59,     60,    150,    164,     56,      7,      3,      1,     13,     34,     21,     38,    24.1,    16.8,    36.3,    26.5,    22.0,    12.1,    32.7,    21.0,    24.4,    17.0,    36.5,    26.8,    22.3,    12.4,    33.1,    21.5,    40.7,    24.3,    61.6,    35.1,    39.6,    24.3,    60.6,    35.1,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040706 ,2004-07-06,001602 ,CBT ,00 ,001 ,  151856,   37556,   50557,   12520,   82055,   66588,  132131,  129665,   19725,   22191,  150177,   37559,   51040,   11842,   81357,   65789,  130758,  128671,   19419,   21506,    1679,     669,     189,       6,     698,     799,    1373,     994,     306,     685,    7331,    5739,    8080,     324,    3176,    2673,    9239,   11077,   -1908,   -3746,  100.0,   24.7,   33.3,    8.2,   54.0,   43.8,   87.0,   85.4,   13.0,   14.6,  100.0,   25.0,   34.0,    7.9,   54.2,   43.8,   87.1,   85.7,   12.9,   14.3,  100.0,   39.8,   11.3,    0.4,   41.6,   47.6,   81.8,   59.2,   18.2,   40.8,    237,     74,     74,     42,     57,     61,    154,    162,    236,     73,     75,     39,     54,     59,    148,    160,     51,      8,      3,      1,     10,     32,     19,     35,    25.4,    17.1,    38.2,    27.4,    22.6,    13.6,    33.8,    22.3,    25.7,    17.2,    38.6,    27.6,    22.8,    14.0,    34.2,    22.6,    51.2,    26.4,    72.8,    37.6,    50.6,    26.4,    72.1,    37.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040629 ,2004-06-29,001602 ,CBT ,00 ,001 ,  144525,   31817,   42477,   12196,   78879,   63915,  122892,  118588,   21633,   25937,  142852,   31711,   42740,   11774,   77993,   63029,  121478,  117543,   21374,   25309,    1673,     517,     148,      11,     886,     886,    1414,    1045,     259,     628,     890,     -53,    7939,   -1367,    2863,   -3898,    1443,    2674,    -553,   -1784,  100.0,   22.0,   29.4,    8.4,   54.6,   44.2,   85.0,   82.1,   15.0,   17.9,  100.0,   22.2,   29.9,    8.2,   54.6,   44.1,   85.0,   82.3,   15.0,   17.7,  100.0,   30.9,    8.8,    0.7,   53.0,   53.0,   84.5,   62.5,   15.5,   37.5,    234,     71,     74,     43,     56,     61,    151,    163,    233,     71,     74,     42,     55,     59,    149,    161,     47,      4,      5,      2,      8,     32,     14,     37,    26.8,    18.3,    39.2,    28.4,    24.6,    13.8,    35.2,    21.6,    27.1,    18.4,    39.7,    28.6,    24.9,    14.3,    35.7,    22.1,    64.2,    24.0,    82.2,    38.3,    63.5,    24.0,    81.0,    38.3,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040622 ,2004-06-22,001602 ,CBT ,00 ,001 ,  143635,   31870,   34538,   13563,   76016,   67813,  121449,  115914,   22186,   27721,  142053,   31844,   34820,   13179,   75121,   66898,  120144,  114897,   21909,   27156,    1582,     399,      91,      11,     895,     915,    1305,    1017,     277,     565,    8455,    2214,    2613,     731,    3295,    3791,    6240,    7135,    2215,    1320,  100.0,   22.2,   24.0,    9.4,   52.9,   47.2,   84.6,   80.7,   15.4,   19.3,  100.0,   22.4,   24.5,    9.3,   52.9,   47.1,   84.6,   80.9,   15.4,   19.1,  100.0,   25.2,    5.8,    0.7,   56.6,   57.8,   82.5,   64.3,   17.5,   35.7,    232,     66,     73,     53,     62,     58,    158,    167,    232,     65,     73,     53,     61,     58,    157,    167,     42,      3,      5,      2,      6,     30,     11,     35,    25.9,    20.3,    37.3,    29.8,    24.7,    13.7,    35.1,    20.9,    26.2,    20.5,    37.5,    30.0,    25.0,    14.2,    35.5,    21.5,    75.6,    23.9,    81.9,    38.6,    74.9,    23.9,    79.8,    38.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,040615 ,2004-06-15,001602 ,CBT ,00 ,001 ,  135180,   29656,   31925,   12832,   72721,   64022,  115209,  108779,   19971,   26401,  133659,   29548,   32099,   12611,   71813,   63123,  113972,  107833,   19687,   25826,    1521,     322,      40,       7,     908,     899,    1237,     946,     284,     575,    8677,     -17,    2423,    2517,    5269,    3879,    7769,    8819,     908,    -142,  100.0,   21.9,   23.6,    9.5,   53.8,   47.4,   85.2,   80.5,   14.8,   19.5,  100.0,   22.1,   24.0,    9.4,   53.7,   47.2,   85.3,   80.7,   14.7,   19.3,  100.0,   21.2,    2.6,    0.5,   59.7,   59.1,   81.3,   62.2,   18.7,   37.8,    224,     64,     77,     50,     56,     54,    151,    159,    223,     63,     77,     49,     55,     54,    148,    159,     40,      2,      5,      2,      4,     30,      8,     36,    27.4,    20.6,    38.9,    29.7,    26.8,    14.7,    37.5,    21.5,    27.7,    20.8,    39.1,    30.0,    27.1,    15.3,    37.9,    22.2,    79.4,    24.7,    81.3,    37.5,    78.6,    24.7,    78.8,    37.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
